Unnamed: 0,policy_id,policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,make,segment,model,fuel_type,max_torque,max_power,engine_type,airbags,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,rear_brakes_type,displacement,cylinder,transmission_type,gear_box,steering_type,turning_radius,length,width,height,gross_weight,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,ncap_rating,is_claim
19982,ID19983,1.05753550349338,0.08,0.394230769230769,C7,6112.0,3.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,6.0,Power,5.2,4300.0,1790.0,1635.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0
50715,ID50716,0.083158743356534,0.06,0.346153846153846,C2,27003.0,5.0,C1,M9,Diesel,200Nm@1750rpm,97.89bhp@3600rpm,i-DTEC,2.0,No,Yes,No,Yes,Yes,Drum,1498.0,4.0,Manual,5.0,Electric,4.9,3995.0,1695.0,1501.0,1051.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0
39033,ID39034,0.589983673987819,0.02,0.432692307692308,C5,34738.0,2.0,A,M3,Petrol,91Nm@4250rpm,67.06bhp@5500rpm,1.0 SCe,2.0,No,No,No,No,Yes,Drum,999.0,3.0,Automatic,5.0,Electric,5.0,3731.0,1579.0,1490.0,1155.0,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,2.0,0
46030,ID46031,0.048328964341155,0.03,0.528846153846154,C12,34791.0,1.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,5.0,Power,4.6,3445.0,1515.0,1475.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0
3304,ID03305,0.764641789941032,0.07,0.394230769230769,C3,4076.0,3.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,6.0,Power,5.2,4300.0,1790.0,1635.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0
30946,ID30947,1.12172982521452,0.02,0.490384615384615,C10,73430.0,1.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,5.0,Electric,4.8,3845.0,1735.0,1530.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0
551,ID00552,0.006051495381815,0.02,0.365384615384615,C7,6112.0,1.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,5.0,Power,4.6,3445.0,1515.0,1475.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0
44947,ID44948,0.452683530522014,0.04,0.442307692307692,C14,7788.0,1.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,5.0,Power,4.6,3445.0,1515.0,1475.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0
34387,ID34388,0.301309216890131,0.14,0.5,C3,4076.0,3.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,6.0,Power,5.2,4300.0,1790.0,1635.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0
35589,ID35590,1.11437060864317,0.1,0.605769230769231,C8,8794.0,1.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,5.0,Electric,4.8,3845.0,1735.0,1530.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0
